NORTH
PA_all_avg[*,1] [degrees]
-NaN       14.773134       23.192898       29.783939       43.006699       50.475395       64.411034
       72.042206       86.170456       93.827805       107.96671       115.57742       129.54425       136.97728
       150.21359       156.75551       165.26607            -NaN

jch_all[*,*,1]: NUMBER FLUX  [cm-2 s-1 sr-1 MeV-1]: energy (16 rows) , pitch angle (18 columns)
-NaN       49612.641       92806.938       91922.734       312196.47       514480.19       920751.50       1205900.0       1290435.0       1385389.0       867528.94       415850.06       87044.125       40676.730        26069.338       14127.746       13233.508            -NaN
            -NaN       14604.839       12135.917       19838.229       63245.688       97725.094       211755.67       279363.38       315148.12       332466.75       195429.59       102394.71       24279.068       11315.868       6515.8682       4790.2266       2295.7261            -NaN
            -NaN       6270.8828       6049.0352       7257.3555       21136.758       46211.352       80699.445       124703.15       128202.05       125033.93       67187.570       45705.547       10401.506       5061.2612       2642.9250       3606.9136       2166.6138            -NaN
            -NaN       8250.5371       12067.757       14813.203       26417.330       33065.711       47532.715       71028.742       77739.578       91655.344       53988.293       30234.240       6407.4092       5029.9565       3428.2192       2056.0876            -NaN            -NaN
            -NaN       3965.1699       10791.372       8798.9316       12712.149       15972.237       32771.648       36325.625       40297.293       40655.344       33822.613       17957.557       3594.6106       3199.5671            -NaN       565.09296            -NaN            -NaN
            -NaN       2944.9458       5149.6279       4316.3320       12002.497       11694.181       18867.340       16726.527       21615.463       20087.184       13829.787       7417.5850       2417.6208       2261.6436            -NaN       1356.2231            -NaN            -NaN
            -NaN       2797.8689       4006.7310       4208.0225       9655.1416       8801.6113       13691.052       10324.377       14165.679       11756.092       8837.3457       4634.9204       1599.5652       797.32410            -NaN            -NaN            -NaN            -NaN
            -NaN       4334.8101       5367.0054       2727.6992       5722.9102       3094.5605       5878.6626       4136.4194       4726.7212       4563.2686       4891.3477       1390.2223       766.47723            -NaN            -NaN            -NaN            -NaN            -NaN
            -NaN       2003.0697       1674.0902       1606.5997       2790.0737       1514.1577       1625.5247       1506.4221       1161.2682       1648.9365       1079.6119       683.47021            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN
            -NaN            -NaN       463.44193       370.98260            -NaN       573.53583       292.46814            -NaN       603.63940            -NaN       492.11948            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN
            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN
            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN
            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN
            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN
            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN
            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN



