SOUTH
PA_all_avg[*,50] [degrees]
-NaN       23.793715       26.005840       37.525654       41.881634       56.606133       61.511055
       77.063705       82.132393       97.862984       102.94427       118.46935       123.41735       138.07762
       142.52074       153.91888       156.28687            -NaN

jch_all[*,*,50]: NUMBER FLUX  [cm-2 s-1 sr-1 MeV-1]: energy (16 rows) , pitch angle (18 columns)
-NaN       5262.6440       7860.3945       14481.976       13116.410       73135.641       153183.61       500018.41       685362.62       547238.25       481760.16       95030.969       55536.586       13129.859
       10494.998       3931.5964       2619.8984            -NaN
            -NaN       5704.6230       6248.3989       2283.3792       9099.5088       42089.344       91472.406       362169.69       512712.03       409401.34       360301.16       68481.266       33827.102       6831.6284       6825.8467       6818.8618       2271.9429            -NaN
            -NaN            -NaN       1425.6595       2865.4170       4282.1211       19535.424       53373.176       203466.92       279288.25       261648.91       183804.12       48794.887       9353.3242       5000.9302       4996.6978       4991.5845            -NaN            -NaN
            -NaN       679.24823       1352.7191       3398.5186            -NaN       12357.294       38155.285       102076.12       158695.75       111200.80       119210.27       26258.803       8874.7832       5422.9370            -NaN            -NaN       1352.5986            -NaN
            -NaN       2238.1357       2228.6177       1119.8182       557.82434       14138.027       28001.805       101755.87       135104.77       88939.344       101230.90       21061.582       6185.9302       1675.1887       1115.8474            -NaN       1114.2096            -NaN
            -NaN       447.62714            -NaN       1343.7820       2677.5564       9048.3369       15543.857       43383.340       55042.684       48570.465       41704.703       10473.867       5398.6299            -NaN       1785.3557       891.76428       1337.0515            -NaN
            -NaN       1184.8954            -NaN       1976.1499       2362.5500       4790.2964       18152.430       36989.102       50333.152       32330.184       35514.605       9241.6475       9130.0361       394.16205       787.65698       1180.2764       786.50085            -NaN
            -NaN            -NaN            -NaN            -NaN       1004.0838       2375.1887       5657.5073       18462.293       22892.756       22687.520       18367.045       10416.945       3880.2656       1842.7078       836.88562       167.20581       501.39438            -NaN
            -NaN            -NaN            -NaN            -NaN            -NaN       1733.3452       2829.4504       5890.0610       8405.9102       7157.2339       7003.0239       4965.7388       1856.2362       1053.2354       263.08600       525.63348       262.69983            -NaN
            -NaN            -NaN            -NaN            -NaN            -NaN       369.00250       1118.6434       2683.6587       3060.9675       3388.1494       2768.6951       1671.4071       1559.4871       910.88391       1092.1356            -NaN       363.51086            -NaN
            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN       932.98566       522.40515       963.74042       1012.5515       713.13379       704.52124       544.10132       310.65195       232.75052            -NaN            -NaN
            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN       264.76379            -NaN       353.73697            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN
            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN
            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN
            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN
            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN



