NORTH
PA_all_avg[*,29] [degrees]
 -NaN       7.0074706       15.503391       29.501534       38.001194       52.000652       60.500549
       74.500198       83.000114       96.999817       105.49990       119.49939       127.99943       141.99875
       150.49838       164.49641       172.99275            -NaN

jch_all[*,*,XX]: NUMBER FLUX  [cm-2 s-1 sr-1 MeV-1]: energy (16 rows) , pitch angle (18 columns)
-NaN       5183.9072       4534.0049       5189.5649       6468.4492       26918.168       77334.539       324640.44       489641.09       513601.56       320553.09       97147.875       21645.381       11677.912
       5184.0020       4746.7988       3452.8579            -NaN
            -NaN            -NaN       1967.3203       2250.5874       2814.6284       10916.599       40318.281       159674.09       239723.61       261148.64       153570.84       54263.375       9380.0078       3560.3203       2622.9663       2245.8809       2250.2285            -NaN
            -NaN            -NaN            -NaN       1765.2585       1410.1649       6138.0977       25933.287       86869.984       144902.52       146989.97       93926.602       26661.707       6121.5142       1645.5403       1412.5767            -NaN       1411.8301            -NaN
            -NaN       1335.1505            -NaN       2673.0000       2011.9930       6946.7930       17843.992       67551.070       103602.24       104404.77       64691.934       19636.178       4356.5410       1671.4883       2010.0155       1340.0693       1334.2717            -NaN
            -NaN       1649.7546            -NaN       2201.8965       1930.8926       5166.1045       10439.323       33466.988       47735.160       41817.785       30366.887       10791.006       2576.3604       2761.1814            -NaN            -NaN            -NaN            -NaN
            -NaN       1319.8036       442.00336       1762.4655       1320.6733       2952.3604       5663.7856       12396.773       19327.594       23761.137       13013.941       4610.5078       1103.6030       883.57800            -NaN            -NaN            -NaN            -NaN
            -NaN       0.0000000       1560.0118       1297.7593       389.58875       2346.2195       3553.8936       5942.3066       7830.0610       9515.2578       5858.6064       2100.0520       650.01917       194.94989            -NaN       779.21539       387.92212            -NaN
            -NaN       496.41956       496.42734       772.21167       994.92438       1938.8220       1734.4124       3154.1292       3571.4604       3222.9851       2588.4763       1059.4375       717.51495       660.89124            -NaN            -NaN       494.60071            -NaN
            -NaN       389.55331       129.61569       563.76740       1369.9982       1568.2412       1453.8331       2752.3655       3034.4648       2352.1060       2151.6484       745.92303       347.25018       390.69229            -NaN            -NaN            -NaN            -NaN
            -NaN       225.07539       404.89850       510.36841       766.20239       964.33569       1217.7026       1532.0571       1655.8735       1946.8588       1544.3689       545.64417       360.29004            -NaN            -NaN            -NaN            -NaN            -NaN
            -NaN       498.43207       614.11829       614.72852       1038.1885       720.58215       805.45459       1467.6410       1032.5566       952.90320       508.45721       542.64911            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN
            -NaN       549.25012       274.67352       549.68640       341.96008       620.61090       419.09036       499.71161       290.53827       584.70270       247.20422            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN
            -NaN       271.39420            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN
            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN
            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN
            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN

