NORTH
PA_all_avg[*,159] [degrees]
-NaN       10.032932       18.611485       29.330866       39.968006       51.230053       62.067333
       73.427582       84.309502       95.690819       106.57188       117.93311       128.76834       140.03210
       150.66887       161.38509       169.96092            -NaN

jch_all[*,*,159]: NUMBER FLUX  [cm-2 s-1 sr-1 MeV-1]: energy (16 rows) , pitch angle (18 columns)
            -NaN       21140.080       19723.002       32448.504       29645.932       139580.22       434735.56       833830.50       1173350.4       1160189.5       786678.06       283849.12       87365.906       47739.480       18519.365       35329.918       18909.023            -NaN
            -NaN       9187.0400       8398.4844       13286.560       27263.293       71840.609       196617.62       444496.22       596986.56       569302.69       391308.94       135445.09       36963.082       19888.324       10510.128       14301.060       7582.2778            -NaN
            -NaN       6215.6406       7372.3389       7553.6099       16822.176       36410.512       104578.80       201610.30       290415.62       262038.22       185355.12       73028.188       16248.836       9322.2793       6408.2715       5495.3823       3355.0278            -NaN
            -NaN       6117.2227       8743.6133       9440.6016       16819.717       38889.438       81685.328       144948.95       189082.00       180442.94       133567.11       49448.574       15021.839       9794.6045       3908.9023       7826.5571       3036.3245            -NaN
            -NaN       6480.6543       4890.1543       7924.5225       12392.671       25834.664       39192.695       54077.266       66217.352       63660.793       49101.148       22348.570       8056.1924       5500.4673       4658.4736       1788.9152       2144.3044            -NaN
            -NaN       4259.2871       7939.1084       6458.3223       9120.3994       17553.498       18232.756       25116.951       28115.328       29456.109       19689.014       11232.243       2879.1721       2585.0200       1718.4608       1431.3081       1143.6290            -NaN
            -NaN       4060.4241       5584.3594       6399.2676       7035.3569       12731.100       11049.939       15047.109       16763.902       15186.487       12261.135       6550.3267       1861.6920       1012.3842            -NaN       2020.2975       1513.6268            -NaN
            -NaN       3798.4795       4101.0537       6050.1357       4372.0605       6460.2192       4031.0205       7082.4507       6547.4795       6889.1147       4200.0713       3685.5764       973.73328       1075.9478            -NaN            -NaN            -NaN            -NaN
            -NaN       1896.9397       1967.1646       2238.8596       1463.8478       2024.7784       1737.3948       2167.9829       1533.2725       2343.5750       1293.7856       1329.1244       678.67810            -NaN            -NaN            -NaN            -NaN            -NaN
            -NaN       772.17853       726.02399       625.65729       588.46399       532.37329       603.64319       642.77289       674.61096       630.44037       430.63800            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN
            -NaN            -NaN       300.59256            -NaN            -NaN       299.34128            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN
            -NaN            -NaN       177.74896            -NaN            -NaN       267.26895            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN
            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN       280.49261            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN
            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN
            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN
            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN



