NORTH
PA_all_avg[*,153] [degrees]
-NaN       7.2534027       20.550291       26.286781       42.421669       48.341698       64.681648
       70.634766       87.019966       92.980186       109.36488       115.31884       131.65775       137.57845
       153.71254       159.45070       172.74020            -NaN

jch_all[*,*,153]: NUMBER FLUX  [cm-2 s-1 sr-1 MeV-1]: energy (16 rows) , pitch angle (18 columns)
            -NaN       16808.189       12604.111       16768.363       37864.961       71545.453       258369.77       328578.00       517148.25       448289.38       285043.31       181613.34       8367.1387       12561.137       8378.8311       8397.8271            -NaN            -NaN
            -NaN            -NaN       7578.6479       7000.7095       9924.4941       31560.787       114704.99       139815.41       206733.27       228124.56       119267.19       68000.562       12806.236       7560.0942       5232.8755       2327.6340       2329.6814            -NaN
            -NaN            -NaN       3658.7339       2745.3760       4579.0869       10071.270       39353.828       68748.797       90478.867       100944.50       56484.703       30363.879       5018.0322       0.0000000            -NaN       1827.7621       2740.8013            -NaN
            -NaN       2589.4902            -NaN       2604.9150       3475.6636       8680.9746       28968.332       52003.156       72867.820       76628.070       40005.031       16997.889       2597.5903       4337.7148            -NaN       1734.2487            -NaN            -NaN
            -NaN       2144.4927            -NaN       2145.8115       2505.4907       2866.1013       15070.424       22172.820       36671.375       48461.820       22075.605       8271.5898       1429.6620       714.64276       2142.9873            -NaN            -NaN            -NaN
            -NaN            -NaN            -NaN       1144.4329       2004.2415       3434.7588       7030.1680       14828.553       24308.883       23495.086       12753.235       5180.9927       2859.3237       2286.8567            -NaN            -NaN            -NaN            -NaN
            -NaN            -NaN       1009.3060       3029.3809       1263.1965       4054.3125       6198.6968       9483.1074       15004.119       12696.016       4858.3584       3811.4639       502.36777            -NaN            -NaN            -NaN            -NaN            -NaN
            -NaN            -NaN       857.91010       214.58118       1395.9568       1292.3120       3577.0869       6873.2158       6815.0479       8374.2930       5863.5972       3673.3877       854.02521       428.78564            -NaN            -NaN            -NaN            -NaN
            -NaN       337.07477       421.36194       1011.8460       1097.0044       677.09210       2960.7468       3517.4700       6221.0410       4508.6475       2904.1372       1868.3606       167.79626            -NaN            -NaN            -NaN            -NaN            -NaN
            -NaN       349.82034       641.29388       933.42810       642.26013       1522.5050       1947.0710       1602.9249       2090.8660       2940.9424       1418.5017       587.93927       464.37619            -NaN            -NaN            -NaN            -NaN            -NaN
            -NaN       696.53125       348.22418       398.26270       747.22827       1099.3269       524.77570       709.28992       715.11115       819.41406       655.45465       852.41437            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN
            -NaN       533.05957            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN       366.87231            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN
            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN
            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN
            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN
            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN            -NaN

